DFF 1.1	Flow Table																											
																												
			Gate			Command				Bin Number		Sort Number			Flag			Group				Device			Debug			
						defaults										ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED												
						flag-true	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED																					
						flag-false	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED															not	flag-true	ifallpb2_C2A232F_PASSED				
						flag-false	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED															not	flag-true	ifallpb1_C2A232F_PASSED				
						Test	test3	test3	50590					Fail									flag-true	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED				
						Test	test4	test4	50600					Fail									flag-true	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED				
						logprint	Test_that_group-level_dependencies_work																					
						Test	grp1_test1	grp1_test1	50610		5			None		grp1_C2A232F_FAILED_0												
						defaults										grp1_C2A232F_FAILED												
						flag-true	grp1_C2A232F_FAILED																flag-true	grp1_C2A232F_FAILED_0				
						Test	grp1_test2	grp1_test2	50620		5			None		grp1_C2A232F_FAILED_1												
						flag-true	grp1_C2A232F_FAILED																flag-true	grp1_C2A232F_FAILED_1				
						Test	grp1_test3	grp1_test3	50630		5			None		grp1_C2A232F_FAILED_2												
						flag-true	grp1_C2A232F_FAILED																flag-true	grp1_C2A232F_FAILED_2				
						Test	grp2_test1	grp2_test1	50640		5			Fail									flag-true	grp1_C2A232F_FAILED				
						Test	grp2_test2	grp2_test2	50650		5			Fail									flag-true	grp1_C2A232F_FAILED				
						Test	grp2_test3	grp2_test3	50660		5			Fail									flag-true	grp1_C2A232F_FAILED				
						logprint	Another_group-level_dependencies_test_based_on_a_real_life_use_case																					
						Test	gt1	gt1	50670		90			Fail														
						Test	gt_grp1_test1	gt_grp1_test1	50680		90			None		gt_grp1_C2A232F_FAILED_0												
						defaults										gt_grp1_C2A232F_FAILED												
						flag-true	gt_grp1_C2A232F_FAILED																flag-true	gt_grp1_C2A232F_FAILED_0				
						Test	gt_grp1_test2	gt_grp1_test2	50690		90			None		gt_grp1_C2A232F_FAILED_1												
						flag-true	gt_grp1_C2A232F_FAILED																flag-true	gt_grp1_C2A232F_FAILED_1				
						Test	gt2	gt2	50700		90			Fail									flag-true	gt_grp1_C2A232F_FAILED				
						Test	gt_grp2_test1	gt_grp2_test1	50710		90			None		gt_grp2_C2A232F_FAILED_0							flag-true	gt_grp1_C2A232F_FAILED				
						defaults										gt_grp2_C2A232F_FAILED												
						flag-true	gt_grp2_C2A232F_FAILED																flag-true	gt_grp2_C2A232F_FAILED_0				
						Test	gt_grp2_test2	gt_grp2_test2	50720		90			None		gt_grp2_C2A232F_FAILED_1							flag-true	gt_grp1_C2A232F_FAILED				
						flag-true	gt_grp2_C2A232F_FAILED																flag-true	gt_grp2_C2A232F_FAILED_1				
						Test	gt3	gt3	50730		90			Fail									flag-true	gt_grp2_C2A232F_FAILED				
						logprint	Test_that_nested_groups_work																					
						Test	lev1_test1	lev1_test1	50740		5			Fail														
						Test	lev1_test2	lev1_test2	50750		5			Fail														
						Test	lev1_test3	lev1_test3	50760		10			None		l1t3_C2A232F_FAILED												
						Test	lev1_test4	lev1_test4	50770		12			Fail									flag-true	l1t3_C2A232F_FAILED				
						Test	lev1_test5	lev1_test5	50780		12			None		l1t5_C2A232F_FAILED												
						Test	lev2_test1	lev2_test1	50790		5			Fail														
						Test	lev2_test2	lev2_test2	50800		5			Fail														
						Test	lev2_test3	lev2_test3	50810		10			None		l2t3_C2A232F_FAILED												
						Test	lev2_test4	lev2_test4	50820		12			Fail									flag-true	l2t3_C2A232F_FAILED				
						Test	lev2_test5	lev2_test5	50830		12			Fail									flag-true	l1t5_C2A232F_FAILED				
						logprint	Test_nested_conditions_on_a_group																					
						Test	nt1	nt1	50840		10			None		nt1_C2A232F_FAILED												
						Test	nt2	nt2	50850		11			None	nt2_C2A232F_PASSED	nt2_C2A232F_FAILED							flag-true	nt1_C2A232F_FAILED				
						Test	nt3	nt3	50860		12			Fail									flag-true	nt2_C2A232F_PASSED				
						Test	nt4	nt4	50870		13			Fail									flag-true	nt2_C2A232F_FAILED				
						logprint	Embedded_conditional_tests_1																					
						Test	test1	test1	50880					None		ect1_1_C2A232F_FAILED												
						Test	test2	test2	50890					Fail									flag-true	ect1_1_C2A232F_FAILED				
						Test	test3	test3	50900					None		ect1_3_C2A232F_FAILED							flag-true	ect1_1_C2A232F_FAILED				
						Test	test4	test4	50910					Fail									flag-true	ect1_3_C2A232F_FAILED				
						logprint	Embedded_conditional_tests_2																					
						Test	test1	test1	50920					None		ect2_1_C2A232F_FAILED												
						Test	test2	test2	50930					None		ect2_2_C2A232F_FAILED												
						defaults										ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED												
						flag-true	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED																					
						flag-false	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED															not	flag-true	ect2_2_C2A232F_FAILED				
						flag-false	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED															not	flag-true	ect2_1_C2A232F_FAILED				
						Test	test3	test3	50940					Fail									flag-true	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED				
		en1				Test	test4	test4	50950					Fail									flag-true	ect2_1_C2A232F_FAILED				
		en2				Test	test5	test5	50960					Fail									flag-true	ect2_1_C2A232F_FAILED				
		en2				Test	test6	test6	50970					Fail									flag-true	ect2_1_C2A232F_FAILED				
						Test	test7	test7	50980					Fail									flag-true	ect2_1_C2A232F_FAILED				
						Test	test8	test8	51000					Fail														
						logprint	Nested_enable_word_test_1																					
		word1				Test	test1	test1	51010					Fail														
		word1				goto	LABEL_4_C2A232F																					
						goto	LABEL_3_C2A232F																					
	LABEL_4_C2A232F					nop																						
		word2				enable-flow-word	word1_AND_word2																					
	LABEL_3_C2A232F					nop																						
		word1_AND_word2				Test	test2	test2	51020					Fail														
						logprint	Nested_enable_word_test_2																					
		word1				Test	test1	test1	51030					Fail														
		word2				goto	LABEL_5_C2A232F																					
		word1				Test	test2	test2	51040					Fail														
	LABEL_5_C2A232F					nop																						
						logprint	Nested_enable_word_test_3																					
		word1				enable-flow-word	word1_OR_word2																					
		word2				enable-flow-word	word1_OR_word2																					
		word1_OR_word2				Test	test1	test1	51050					Fail														
		word1_OR_word2				goto	LABEL_7_C2A232F																					
						goto	LABEL_6_C2A232F																					
	LABEL_7_C2A232F					nop																						
		word3				enable-flow-word	word1_OR_word2_AND_word3																					
	LABEL_6_C2A232F					nop																						
		word1_OR_word2_AND_word3				Test	test2	test2	51060					Fail														
						logprint	Conditional_enable_test																					
		nvm_minimum_room	FR			enable-flow-word	nvm_minimum_ft																					
		nvm_minimum_cold	FC			enable-flow-word	nvm_minimum_ft																					
		nvm_minimum_hot	FH			disable-flow-word	nvm_minimum_ft																					
						logprint	Test_enable_words_that_wrap_a_lot_of_tests																					
		word1				goto	LABEL_9_C2A232F																					
						goto	LABEL_8_C2A232F																					
	LABEL_9_C2A232F					nop																						
						Test	test1	test1	51100					Fail														
						Test	test1	test1	51110					Fail														
						Test	test1	test1	51120					Fail														
						Test	test1	test1	51130					Fail														
						Test	test1	test1	51140					Fail														
		word2				Test	test1	test1	51200					Fail														
		word2				Test	test1	test1	51210					Fail														
		word2				Test	test1	test1	51220					Fail														
		word2				Test	test1	test1	51230					Fail														
		word2				goto	LABEL_11_C2A232F																					
						goto	LABEL_10_C2A232F																					
	LABEL_11_C2A232F					nop																						
		word3				enable-flow-word	word2_AND_word3																					
	LABEL_10_C2A232F					nop																						
		word2_AND_word3				Test	test1	test1	51300					Fail														
	LABEL_8_C2A232F					nop																						
						logprint	This_should_generate_an_AND_flag																					
						Test	test1	test1	51310					None		at1_C2A232F_FAILED												
						Test	test2	test2	51320					None		at2_C2A232F_FAILED												
						defaults										at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED												
						flag-true	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED																					
						flag-false	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED															not	flag-true	at2_C2A232F_FAILED				
						flag-false	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED															not	flag-true	at1_C2A232F_FAILED				
						Test	test3	test3	51330					Fail									flag-true	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED				
						Test	test4	test4	51340					Fail									flag-true	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED				
						logprint	This_should_NOT_generate_an_AND_flag																					
						Test	test1	test1	51350					None		at11_C2A232F_FAILED												
						Test	test2	test2	51360					None		at21_C2A232F_FAILED							flag-true	at11_C2A232F_FAILED				
						Test	test3	test3	51370					Fail									flag-true	at21_C2A232F_FAILED				
						Test	test4	test4	51380					Fail									flag-true	at21_C2A232F_FAILED				
						logprint	Manual_flag_setting																					
						Test	test1		51390					None		my_flag												
						Test	test2		51400					Fail									flag-true	my_flag				
						Test	test3		51410					Fail								not	flag-true	my_flag				
						logprint	Mixed-case_manual_flags																					
						Test	test1		51420					None		My_Mixed_Flag												
						Test	test2		51430					Fail									flag-true	My_Mixed_Flag				
						Test	test3		51440					Fail								not	flag-true	My_Mixed_Flag				
						logprint	Mixed-case_enables																					
		MCEn_extras				Test	extra_test		51450					Fail														
		MCEn_test				goto	LABEL_12_C2A232F																					
						Test	test1		51460					Fail														
						Test	test2		51470					Fail														
	LABEL_12_C2A232F					nop																						
						logprint	An_optimization_test_case,_this_should_not_generate_a_flag_on_V93K																					
						Test	test1	test1	51580					None	t1a_C2A232F_PASSED	t1a_C2A232F_FAILED												
						Test	test2	test2	51590					Fail									flag-true	t1a_C2A232F_PASSED				
						Test	test3	test3	51600					Fail									flag-true	t1a_C2A232F_FAILED				
						set-device					10			Fail									flag-true	t1a_C2A232F_FAILED				
						logprint	The_reverse_optimization_test_case,_this_should_not_generate_a_flag_on_V93K																					
						Test	test1	test1	51610					None	t1b_C2A232F_PASSED	t1b_C2A232F_FAILED												
						Test	test3	test3	51620					Fail									flag-true	t1b_C2A232F_FAILED				
						set-device					10			Fail									flag-true	t1b_C2A232F_FAILED				
						Test	test2	test2	51630					Fail									flag-true	t1b_C2A232F_PASSED				
						logprint	Test_the_block_form_of_expressing_if_passed/failed_dependents																					
						Test	test1	test1	51960					None	t114_C2A232F_PASSED	t114_C2A232F_FAILED												
						Test	test3	test3	51980					Fail									flag-true	t114_C2A232F_FAILED				
						set-device					10			Fail									flag-true	t114_C2A232F_FAILED				
						Test	test2	test2	51970					Fail									flag-true	t114_C2A232F_PASSED				
						logprint	Test_the_else_block_on_a_flag_condition																					
		bitmap				Test	test2		51990					Fail														
		bitmap				goto	LABEL_13_C2A232F																					
						Test	test3		52000					Fail														
	LABEL_13_C2A232F					nop																						
						Test	test2		52010					Fail									flag-true	some_flag				
						Test	test3		52020					Fail								not	flag-true	some_flag				
						logprint	Test_of_a_real_life_case_which_was_found_to_have_problems																					
		eword1				goto	LABEL_14_C2A232F																					
		eword2				goto	LABEL_15_C2A232F																					
		small_flow				Test	test1		53010					Fail														
		small_flow				Test	test2		53020					Fail														
						Test	test1		53030					Fail														
						Test	test1		53040					Fail														
						Test	test1		53050					Fail														
						Test	test1		53060					Fail														
						Test	test1		53070					Fail														
						Test	test1		53080					Fail														
						Test	test1		53090					Fail														
		small_flow				Test	test1		53100					Fail														
		small_flow				Test	test2		53110					Fail														
	LABEL_15_C2A232F					nop																						
		eword2				goto	LABEL_17_C2A232F																					
						goto	LABEL_16_C2A232F																					
	LABEL_17_C2A232F					nop																						
		small_flow				Test	test1		54010					Fail														
		small_flow				Test	test2		54020					Fail														
						Test	test1		54030					Fail														
						Test	test1		54040					Fail														
						Test	test1		54050					Fail														
						Test	test1		54060					Fail														
						Test	test1		54070					Fail														
						Test	test1		54080					Fail														
						Test	test1		54090					Fail														
		small_flow				Test	test1		54100					Fail														
		small_flow				Test	test2		54110					Fail														
	LABEL_16_C2A232F					nop																						
	LABEL_14_C2A232F					nop																						
						logprint	Test_that_if_any_site_failed_works																					
						Test	read1	read1	60000		10			None		ta1_C2A232F_FAILED												
						Test	erase1	erase1	60010		12			Fail				any-active		flag-true	ta1_C2A232F_FAILED							
						logprint	Test_the_block_form_of_if_any_site_failed																					
						Test	read2	read2	60020		10			None		ta2_C2A232F_FAILED												
						Test	erase2	erase2	60030					Fail				any-active		flag-true	ta2_C2A232F_FAILED							
						Test	erase2	erase2	60040					Fail				any-active		flag-true	ta2_C2A232F_FAILED							
						logprint	Test_that_if_all_sites_failed_works																					
						Test	read1	read1	60000		10			None		ta3_C2A232F_FAILED												
						Test	erase1	erase1	60010		12			Fail				all-active		flag-true	ta3_C2A232F_FAILED							
						logprint	Test_that_if_any_sites_passed_works																					
						Test	read1	read1	60000		10			None	ta4_C2A232F_PASSED													
						Test	erase1	erase1	60010		12			Fail				any-active		flag-true	ta4_C2A232F_PASSED							
						logprint	Test_that_if_all_sites_passed_works																					
						Test	read1	read1	60000		10			None	ta5_C2A232F_PASSED													
						Test	erase1	erase1	60010		12			Fail				all-active		flag-true	ta5_C2A232F_PASSED							
