DTPinMap,version=2.1:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Pin Map

	Group Name	Pin Name	Type	Comment
		d2_mbg1	Output	
		d2_ma00	Output	
		d2_ma01	Output	
		d2_ma02	Output	
		d2_ma03	Output	
		d2_ma04	Output	
		d2_ma05	Output	
		d2_ma06	Output	
		d2_ma07	Output	
		d2_ma08	Output	
		d2_ma09	Output	
		d2_ma10	Output	
		d2_ma11	Output	
		d2_ma12	Output	
		d2_ma13	Output	
		d2_ma17	Output	
		d2_mact_b	Output	
		d2_mwe_b	Output	
		d2_mras_b	Output	
		d2_mcas_b	Output	
		d2_mcs0_b	Output	
		d2_mcs1_b	Output	
		d2_mcs2_b	Output	
		d2_mcs3_b	Output	
		d2_mcke0	Output	
		d2_mcke1	Output	
		d2_mcke2	Output	
		d2_mcke3	Output	
		d2_modt0	Output	
		d2_modt1	Output	
		d2_modt2	Output	
		d2_modt3	Output	
		d2_mdic0	I/O	
		d2_mdic1	I/O	
		ifc_ad07	I/O	
		ifc_ad06	I/O	
		ifc_ad05	I/O	
		ifc_ad04	I/O	
		ifc_ad03	I/O	
		ifc_ad02	I/O	
		ifc_ad01	I/O	
		ifc_ad00	I/O	
		ifc_ad15	I/O	
		ifc_ad14	I/O	
		ifc_ad13	I/O	
		ifc_ad12	I/O	
		ifc_ad11	I/O	
		ifc_ad10	I/O	
		ifc_ad09	I/O	
		ifc_ad08	I/O	
		ifc_a00	I/O	
		ifc_a01	I/O	
		ifc_a02	I/O	
		ifc_a03	I/O	
		ifc_a04	I/O	
		ifc_a05	I/O	
		ifc_a06	I/O	
		ifc_a07	I/O	
		ifc_a08	I/O	
		ifc_a09	I/O	
		ifc_a10	I/O	
		ifc_a11	I/O	
		ifc_par0	I/O	
		ifc_par1	I/O	
		ifc_cs0_b	I/O	
		ifc_cs1_b	I/O	
		ifc_cs2_b	I/O	
		ifc_cs3_b	I/O	
		ifc_we0_b	I/O	
		ifc_bctl	I/O	
		ifc_te	I/O	
		ifc_nddqs	I/O	
		ifc_ale	I/O	
		ifc_cle	I/O	
		ifc_oe_b	I/O	
		ifc_wp0_b	I/O	
		ifc_rb0_b	I/O	
		ifc_rb1_b	I/O	
		ifc_perr_b	I/O	
		ifc_clk1	I/O	
		ifc_clk0	I/O	
		ifc_ndwe_b	I/O	
		ifc_cs4_b	I/O	
		ifc_cs5_b	I/O	
		ifc_cs6_b	I/O	
		ifc_cs7_b	I/O	
		uart1_sout	I/O	
		uart2_sout	I/O	
		uart1_sin	I/O	
		uart2_sin	I/O	
		uart1_rts_b	I/O	
		uart2_rts_b	I/O	
		uart1_cts_b	I/O	
		uart2_cts_b	I/O	
		iic1_scl	I/O	
		iic1_sda	I/O	
		iic2_scl	I/O	
		iic2_sda	I/O	
		iic3_scl	I/O	
		iic3_sda	I/O	
		iic4_scl	I/O	
		iic4_sda	I/O	
		spi_sout	I/O	
		spi_sin	I/O	
		spi_sck	I/O	
		spi_pcs0	I/O	
		spi_pcs1	I/O	
		spi_pcs2	I/O	
		spi_pcs3	I/O	
		sdhc_cmd	I/O	
		sdhc_dat3	I/O	
		sdhc_dat2	I/O	
		sdhc_dat1	I/O	
		sdhc_dat0	I/O	
		sdhc_clk	I/O	
		irq00	I/O	
		irq01	I/O	
		irq02	I/O	
		irq03	I/O	
		irq04	I/O	
		irq05	I/O	
		irq06	I/O	
		irq07	I/O	
		irq08	I/O	
		irq09	I/O	
		irq10	I/O	
		irq11	I/O	
		evt9_b	I/O	
		ta_tmp_detect_b	Input	
		ta_bb_tmp_detect_b	Input	
		ta_bb_rtc	Input	
		poreset_b	Input	
		hreset_b	I/O	
		reset_req_b	I/O	
		sysclk	Input	
		rtc	I/O	
		ddrclk	Input	
		evt0_b	I/O	
		evt1_b	I/O	
		evt2_b	I/O	
		evt3_b	I/O	
		evt4_b	I/O	
		ckstp_out_b	Output	
		clk_out	Output	
		asleep	I/O	
		scan_mode_b	Input	
		test_sel_b	Input	
		tck	Input	
		tdi	Input	
		tdo	Output	
		tms	Input	
		trst_b	Input	
		tbscan_en_b	Input	
		d1_tpa	I/O	
		d2_tpa	I/O	
		td1_anode	I/O	
		td1_cathode	I/O	
		td2_anode	I/O	
		td2_cathode	I/O	
		fa_analog_pin	I/O	
		fa_analog_g_v	I/O	
		d3_mdq00	I/O	
		d3_mdq01	I/O	
		d3_mdq02	I/O	
		d3_mdq03	I/O	
		d3_mdq04	I/O	
		d3_mdq05	I/O	
		d3_mdq06	I/O	
		d3_mdq07	I/O	
		d3_mdq08	I/O	
		d3_mdq09	I/O	
		d3_mdq10	I/O	
		d3_mdq11	I/O	
		d3_mdq12	I/O	
		d3_mdq13	I/O	
		d3_mdq14	I/O	
		d3_mdq15	I/O	
		d3_mdq16	I/O	
		d3_mdq17	I/O	
		d3_mdq18	I/O	
		d3_mdq19	I/O	
		d3_mdq20	I/O	
		d3_mdq21	I/O	
		d3_mdq22	I/O	
		d3_mdq23	I/O	
		d3_mdq24	I/O	
		d3_mdq25	I/O	
		d3_mdq26	I/O	
		d3_mdq27	I/O	
		d3_mdq28	I/O	
		d3_mdq29	I/O	
		d3_mdq30	I/O	
		d3_mdq31	I/O	
		d3_mecc0	I/O	
		d3_mecc1	I/O	
		d3_mecc2	I/O	
		d3_mecc3	I/O	
		d3_malert_b	I/O	
		d3_mpar	Output	
		d3_mdm0	Output	
		d3_mdm1	Output	
		d3_mdm2	Output	
		d3_mdm3	Output	
		d3_mdm8	Output	
		d3_mba0	Output	
		d3_mba1	Output	
		d3_mbg0	Output	
		d3_mbg1	Output	
		d3_ma00	Output	
		d3_ma01	Output	
		d3_ma02	Output	
		d3_ma03	Output	
		d3_ma04	Output	
		d3_ma05	Output	
		d3_ma06	Output	
		d3_ma07	Output	
		d3_ma08	Output	
		d3_ma09	Output	
		d3_ma10	Output	
		d3_ma11	Output	
		d3_ma12	Output	
		d3_ma13	Output	
		d3_mact_b	Output	
		d3_mwe_b	Output	
		d3_mras_b	Output	
		d3_mcas_b	Output	
		d3_mcs0_b	Output	
		d3_mcs1_b	Output	
		d3_mcs2_b	Output	
		d3_mcs3_b	Output	
		d3_mcke0	Output	
		d3_mcke1	Output	
		d3_modt0	Output	
		d3_modt1	Output	
		d3_mdic0	I/O	
		d3_mdic1	I/O	
		sd1_tx0_p	Output	
		sd1_tx1_p	Output	
		sd1_tx2_p	Output	
		sd1_tx3_p	Output	
		sd1_tx4_p	Output	
		sd1_tx5_p	Output	
		sd1_tx6_p	Output	
		sd1_tx7_p	Output	
		sd1_tx0_n	Output	
		sd1_tx1_n	Output	
		sd1_tx2_n	Output	
		sd1_tx3_n	Output	
		sd1_tx4_n	Output	
		sd1_tx5_n	Output	
		sd1_tx6_n	Output	
		sd1_tx7_n	Output	
		sd1_rx0_p	Input	
		sd1_rx1_p	Input	
		sd1_rx2_p	Input	
		sd1_rx3_p	Input	
		sd1_rx4_p	Input	
		sd1_rx5_p	Input	
		sd1_rx6_p	Input	
		sd1_rx7_p	Input	
		sd1_rx0_n	Input	
		sd1_rx1_n	Input	
		sd1_rx2_n	Input	
		sd1_rx3_n	Input	
		sd1_rx4_n	Input	
		sd1_rx5_n	Input	
		sd1_rx6_n	Input	
		sd1_rx7_n	Input	
		sd1_ref_clk1_p	Input	
		sd1_ref_clk1_n	Input	
		sd1_ref_clk2_p	Input	
		sd1_ref_clk2_n	Input	
		sd1_imp_cal_tx	Input	
		sd1_imp_cal_rx	Input	
		sd1_pll1_tpa	Output	
		sd1_pll2_tpa	Output	
		sd1_pll1_tpd	Output	
		sd1_pll2_tpd	Output	
		sd2_tx0_p	Output	
		sd2_tx1_p	Output	
		sd2_tx2_p	Output	
		sd2_tx3_p	Output	
		sd2_tx4_p	Output	
		sd2_tx5_p	Output	
		sd2_tx6_p	Output	
		sd2_tx7_p	Output	
		sd2_tx0_n	Output	
		sd2_tx1_n	Output	
		sd2_tx2_n	Output	
		sd2_tx3_n	Output	
		sd2_tx4_n	Output	
		sd2_tx5_n	Output	
		sd2_tx6_n	Output	
		sd2_tx7_n	Output	
		sd2_rx0_p	Input	
		sd2_rx1_p	Input	
		sd2_rx2_p	Input	
		sd2_rx3_p	Input	
		sd2_rx4_p	Input	
		sd2_rx5_p	Input	
		sd2_rx6_p	Input	
		sd2_rx7_p	Input	
		sd2_rx0_n	Input	
		sd2_rx1_n	Input	
		sd2_rx2_n	Input	
		sd2_rx3_n	Input	
		sd2_rx4_n	Input	
		sd2_rx5_n	Input	
		sd2_rx6_n	Input	
		sd2_rx7_n	Input	
		sd2_ref_clk1_p	Input	
		sd2_ref_clk1_n	Input	
		sd2_ref_clk2_p	Input	
		sd2_ref_clk2_n	Input	
		sd2_imp_cal_tx	Input	
		sd2_imp_cal_rx	Input	
		sd2_pll1_tpa	Output	
		sd2_pll2_tpa	Output	
		sd2_pll1_tpd	Output	
		sd2_pll2_tpd	Output	
		usb1_d_p	I/O	
		usb1_d_m	I/O	
		usb1_vbus	Input	
		usb1_id	Input	
		usb1_tx_p	Output	
		usb1_tx_m	Output	
		usb1_rx_p	Input	
		usb1_rx_m	Input	
		usb1_resref	I/O	
		usb2_d_p	I/O	
		usb2_d_m	I/O	
		usb2_vbus	Input	
		usb2_id	Input	
		usb2_tx_p	Output	
		usb2_tx_m	Output	
		usb2_rx_p	Input	
		usb2_rx_m	Input	
		usb2_resref	I/O	
		tsec_1588_clk_in	I/O	
		tsec_1588_trig_in1	I/O	
		tsec_1588_trig_in2	I/O	
		tsec_1588_alarm_out1	I/O	
		tsec_1588_alarm_out2	I/O	
		tsec_1588_clk_out	I/O	
		tsec_1588_pulse_out1	I/O	
		tsec_1588_pulse_out2	I/O	
		emi1_mdc	Output	
		emi1_mdio	I/O	
		emi2_mdc	Output	
		emi2_mdio	I/O	
		usb1_drvvbus	I/O	
		usb1_pwrfault	I/O	
		usb2_drvvbus	I/O	
		usb2_pwrfault	I/O	
		d3_tpa	I/O	
		th_tpa	I/O	
		d1_mdqs00_p	I/O	
		d1_mdqs00_n	I/O	
		d1_mdqs01_p	I/O	
		d1_mdqs01_n	I/O	
		d1_mdqs02_p	I/O	
		d1_mdqs02_n	I/O	
		d1_mdqs03_p	I/O	
		d1_mdqs03_n	I/O	
		d1_mdqs04_p	I/O	
		d1_mdqs04_n	I/O	
		d1_mdqs05_p	I/O	
		d1_mdqs05_n	I/O	
		d1_mdqs06_p	I/O	
		d1_mdqs06_n	I/O	
		d1_mdqs07_p	I/O	
		d1_mdqs07_n	I/O	
		d1_mdqs08_p	I/O	
		d1_mdqs08_n	I/O	
		d1_mck0_p	Output	
		d1_mck0_n	Output	
		d1_mck1_p	Output	
		d1_mck1_n	Output	
		d1_mck2_p	Output	
		d1_mck2_n	Output	
		d1_mck3_p	Output	
		d1_mck3_n	Output	
		d1_mdqs09_p	I/O	
		d1_mdqs09_n	I/O	
		d1_mdqs10_p	I/O	
		d1_mdqs10_n	I/O	
		d1_mdqs11_p	I/O	
		d1_mdqs11_n	I/O	
		d1_mdqs12_p	I/O	
		d1_mdqs12_n	I/O	
		d1_mdqs13_p	I/O	
		d1_mdqs13_n	I/O	
		d1_mdqs14_p	I/O	
		d1_mdqs14_n	I/O	
		d1_mdqs15_p	I/O	
		d1_mdqs15_n	I/O	
		d1_mdqs16_p	I/O	
		d1_mdqs16_n	I/O	
		d1_mdqs17_p	I/O	
		d1_mdqs17_n	I/O	
		d2_mdqs00_p	I/O	
		d2_mdqs00_n	I/O	
		d2_mdqs01_p	I/O	
		d2_mdqs01_n	I/O	
		d2_mdqs02_p	I/O	
		d2_mdqs02_n	I/O	
		d2_mdqs03_p	I/O	
		d2_mdqs03_n	I/O	
		d2_mdqs04_p	I/O	
		d2_mdqs04_n	I/O	
		d2_mdqs05_p	I/O	
		d2_mdqs05_n	I/O	
		d2_mdqs06_p	I/O	
		d2_mdqs06_n	I/O	
		d2_mdqs07_p	I/O	
		d2_mdqs07_n	I/O	
		d2_mdqs08_p	I/O	
		d2_mdqs08_n	I/O	
		d2_mck0_p	Output	
		d2_mck0_n	Output	
		d2_mck1_p	Output	
		d2_mck1_n	Output	
		d2_mck2_p	Output	
		d2_mck2_n	Output	
		d2_mck3_p	Output	
		d2_mck3_n	Output	
		d2_mdqs09_p	I/O	
		d2_mdqs09_n	I/O	
		d2_mdqs10_p	I/O	
		d2_mdqs10_n	I/O	
		d2_mdqs11_p	I/O	
		d2_mdqs11_n	I/O	
		d2_mdqs12_p	I/O	
		d2_mdqs12_n	I/O	
		d2_mdqs13_p	I/O	
		d2_mdqs13_n	I/O	
		d2_mdqs14_p	I/O	
		d2_mdqs14_n	I/O	
		d2_mdqs15_p	I/O	
		d2_mdqs15_n	I/O	
		d2_mdqs16_p	I/O	
		d2_mdqs16_n	I/O	
		d2_mdqs17_p	I/O	
		d2_mdqs17_n	I/O	
		diff_sysclk_p	Input	
		diff_sysclk_n	Input	
		d3_mdqs0_p	I/O	
		d3_mdqs0_n	I/O	
		d3_mdqs1_p	I/O	
		d3_mdqs1_n	I/O	
		d3_mdqs2_p	I/O	
		d3_mdqs2_n	I/O	
		d3_mdqs3_p	I/O	
		d3_mdqs3_n	I/O	
		d3_mdqs8_p	I/O	
		d3_mdqs8_n	I/O	
		d3_mck0_p	Output	
		d3_mck0_n	Output	
		d3_mck1_p	Output	
		d3_mck1_n	Output	
	mg2atpr_dack	ifc_rb1_b	I/O	
	mg2atpr_idle	ifc_bctl	I/O	
	atpr2mg_dack	ifc_par1	I/O	
	atpr2mg_edack	ifc_rb0_b	I/O	
	atpr_clk_out	ifc_par0	I/O	
	atpr_start_in	ifc_par0	I/O	
	cfg_dram_type	ifc_a05	I/O	
	cfg_ifc_te	ifc_te	I/O	
	cfg_pll_config_sel_b	ifc_a02	I/O	
	cfg_por_ainit	ifc_a03	I/O	
	cfg_rsp_dis	ifc_ale	I/O	
	cfg_soc_use	asleep	I/O	
	cfg_test_port_dis	ifc_a04	I/O	
	cfg_test_port_mux_sel	reset_req_b	I/O	
	mg2tpr_dack	ta_tmp_detect_b	Input	
	mg2tpr_idle	irq00	I/O	
	tpr2mg_dack	irq01	I/O	
	tpr2mg_edack	sdhc_cmd	I/O	
	tpr_clk_out	evt9_b	I/O	
	tpr_start_in	evt9_b	I/O	
	core_scan_clk	tck	I/O	
	core_scan_edt_clk	evt1_b	I/O	
	core_scan_edt_update	evt4_b	I/O	
	core_scan_enable	tms	I/O	
	core_scan_mode_b	scan_mode_b	I/O	
	core_scan_pgm_mode	evt3_b	I/O	
	core_scan_pgrm_clk	trst_b	I/O	
	core_scan_reset_disable	evt9_b	I/O	
	scan_clk	tck	I/O	
	scan_edt_clk	evt1_b	I/O	
	scan_edt_update	evt4_b	I/O	
	scan_enable	tms	I/O	
	scan_pgm_mode	evt3_b	I/O	
	scan_pgrm_clk	trst_b	I/O	
	scan_reset_disable	evt9_b	I/O	
	soc_ipt_test_cpipe_bypass_aiop	tsec_1588_trig_in1	I/O	
	soc_ipt_test_ctrl_chain_data_aiop	usb1_drvvbus	I/O	
	soc_ipt_test_ctrl_chain_en_aiop	tsec_1588_alarm_out1	I/O	
	soc_ipt_test_ctrl_chain_en_cgu_soc	emi1_mdc	I/O	
	soc_scan_clk	tck	I/O	
	soc_scan_edt_clk	evt1_b	I/O	
	soc_scan_edt_update	evt4_b	I/O	
	soc_scan_enable	tms	I/O	
	soc_scan_mode_b	scan_mode_b	I/O	
	soc_scan_pgm_mode	evt3_b	I/O	
	soc_scan_pgrm_clk	trst_b	I/O	
	soc_scan_reset_disable	evt9_b	I/O	
	ATPR2MG_AAWD	ifc_ad00	I/O	# pin function:  atpr2mg_aawd00
	ATPR2MG_AAWD	ifc_ad01		# pin function:  atpr2mg_aawd01
	ATPR2MG_AAWD	ifc_ad02		# pin function:  atpr2mg_aawd02
	ATPR2MG_AAWD	ifc_ad03		# pin function:  atpr2mg_aawd03
	ATPR2MG_AAWD	ifc_ad04		# pin function:  atpr2mg_aawd04
	ATPR2MG_AAWD	ifc_ad05		# pin function:  atpr2mg_aawd05
	ATPR2MG_AAWD	ifc_ad06		# pin function:  atpr2mg_aawd06
	ATPR2MG_AAWD	ifc_ad07		# pin function:  atpr2mg_aawd07
	ATPR2MG_AAWD	ifc_ad08		# pin function:  atpr2mg_aawd08
	ATPR2MG_AAWD	ifc_ad09		# pin function:  atpr2mg_aawd09
	ATPR2MG_AAWD	ifc_ad10		# pin function:  atpr2mg_aawd10
	ATPR2MG_AAWD	ifc_ad11		# pin function:  atpr2mg_aawd11
	ATPR2MG_AAWD	ifc_ad12		# pin function:  atpr2mg_aawd12
	ATPR2MG_AAWD	ifc_ad13		# pin function:  atpr2mg_aawd13
	ATPR2MG_AAWD	ifc_ad14		# pin function:  atpr2mg_aawd14
	ATPR2MG_AAWD	ifc_ad15		# pin function:  atpr2mg_aawd15
	ATPR2MG_AAWD	ifc_a00		# pin function:  atpr2mg_aawd16
	ATPR2MG_AAWD	ifc_a01		# pin function:  atpr2mg_aawd17
	ATPR2MG_AAWD	ifc_a02		# pin function:  atpr2mg_aawd18
	ATPR2MG_AAWD	ifc_a03		# pin function:  atpr2mg_aawd19
	ATPR2MG_AAWD	ifc_a04		# pin function:  atpr2mg_aawd20
	ATPR2MG_AAWD	ifc_a05		# pin function:  atpr2mg_aawd21
	ATPR2MG_AAWD	ifc_a06		# pin function:  atpr2mg_aawd22
	ATPR2MG_AAWD	ifc_a07		# pin function:  atpr2mg_aawd23
	ATPR2MG_AAWD	ifc_cs0_b		# pin function:  atpr2mg_aawd24
	ATPR2MG_AAWD	ifc_cs1_b		# pin function:  atpr2mg_aawd25
	ATPR2MG_AAWD	ifc_cs2_b		# pin function:  atpr2mg_aawd26
	ATPR2MG_AAWD	ifc_cs3_b		# pin function:  atpr2mg_aawd27
	ATPR2MG_AAWD	ifc_we0_b		# pin function:  atpr2mg_aawd28
	ATPR2MG_AAWD	ifc_ale		# pin function:  atpr2mg_aawd29
	ATPR2MG_AAWD	ifc_cle		# pin function:  atpr2mg_aawd30
	ATPR2MG_AAWD	ifc_oe_b		# pin function:  atpr2mg_aawd31
	ATPR2MG_RDATA	ifc_ad00	I/O	# pin function:  atpr2mg_rdata00
	ATPR2MG_RDATA	ifc_ad01		# pin function:  atpr2mg_rdata01
	ATPR2MG_RDATA	ifc_ad02		# pin function:  atpr2mg_rdata02
	ATPR2MG_RDATA	ifc_ad03		# pin function:  atpr2mg_rdata03
	ATPR2MG_RDATA	ifc_ad04		# pin function:  atpr2mg_rdata04
	ATPR2MG_RDATA	ifc_ad05		# pin function:  atpr2mg_rdata05
	ATPR2MG_RDATA	ifc_ad06		# pin function:  atpr2mg_rdata06
	ATPR2MG_RDATA	ifc_ad07		# pin function:  atpr2mg_rdata07
	ATPR2MG_RDATA	ifc_ad08		# pin function:  atpr2mg_rdata08
	ATPR2MG_RDATA	ifc_ad09		# pin function:  atpr2mg_rdata09
	ATPR2MG_RDATA	ifc_ad10		# pin function:  atpr2mg_rdata10
	ATPR2MG_RDATA	ifc_ad11		# pin function:  atpr2mg_rdata11
	ATPR2MG_RDATA	ifc_ad12		# pin function:  atpr2mg_rdata12
	ATPR2MG_RDATA	ifc_ad13		# pin function:  atpr2mg_rdata13
	ATPR2MG_RDATA	ifc_ad14		# pin function:  atpr2mg_rdata14
	ATPR2MG_RDATA	ifc_ad15		# pin function:  atpr2mg_rdata15
	ATPR2MG_RDATA	ifc_a00		# pin function:  atpr2mg_rdata16
	ATPR2MG_RDATA	ifc_a01		# pin function:  atpr2mg_rdata17
	ATPR2MG_RDATA	ifc_a02		# pin function:  atpr2mg_rdata18
	ATPR2MG_RDATA	ifc_a03		# pin function:  atpr2mg_rdata19
	ATPR2MG_RDATA	ifc_a04		# pin function:  atpr2mg_rdata20
	ATPR2MG_RDATA	ifc_a05		# pin function:  atpr2mg_rdata21
	ATPR2MG_RDATA	ifc_a06		# pin function:  atpr2mg_rdata22
	ATPR2MG_RDATA	ifc_a07		# pin function:  atpr2mg_rdata23
	ATPR2MG_RDATA	ifc_cs0_b		# pin function:  atpr2mg_rdata24
	ATPR2MG_RDATA	ifc_cs1_b		# pin function:  atpr2mg_rdata25
	ATPR2MG_RDATA	ifc_cs2_b		# pin function:  atpr2mg_rdata26
	ATPR2MG_RDATA	ifc_cs3_b		# pin function:  atpr2mg_rdata27
	ATPR2MG_RDATA	ifc_we0_b		# pin function:  atpr2mg_rdata28
	ATPR2MG_RDATA	ifc_ale		# pin function:  atpr2mg_rdata29
	ATPR2MG_RDATA	ifc_cle		# pin function:  atpr2mg_rdata30
	ATPR2MG_RDATA	ifc_oe_b		# pin function:  atpr2mg_rdata31
	ATPR_DACK	ifc_par1	I/O	# pin function:  atpr2mg_dack
	ATPR_DACK	ifc_rb0_b		# pin function:  atpr2mg_edack
	BAT_BACK	ta_bb_rtc	Input	# pin function:  ta_bb_rtc
	BAT_BACK	ta_bb_tmp_detect_b		# pin function:  ta_bb_tmp_detect_b
	BAT_BACK	ta_tmp_detect_b		# pin function:  ta_tmp_detect_b
	BAT_BACK	tbscan_en_b		# pin function:  tbscan_en_b
	CFG_ENG_USE	ifc_we0_b	I/O	# pin function:  cfg_eng_use0
	CFG_ENG_USE	ifc_oe_b		# pin function:  cfg_eng_use1
	CFG_ENG_USE	ifc_wp0_b		# pin function:  cfg_eng_use2
	CFG_GPINPUT	ifc_ad00	I/O	# pin function:  cfg_gpinput0
	CFG_GPINPUT	ifc_ad01		# pin function:  cfg_gpinput1
	CFG_GPINPUT	ifc_ad02		# pin function:  cfg_gpinput2
	CFG_GPINPUT	ifc_ad03		# pin function:  cfg_gpinput3
	CFG_GPINPUT	ifc_ad04		# pin function:  cfg_gpinput4
	CFG_GPINPUT	ifc_ad05		# pin function:  cfg_gpinput5
	CFG_GPINPUT	ifc_ad06		# pin function:  cfg_gpinput6
	CFG_GPINPUT	ifc_ad07		# pin function:  cfg_gpinput7
	CFG_RCW_SRC	ifc_cle	I/O	# pin function:  cfg_rcw_src0
	CFG_RCW_SRC	ifc_ad08		# pin function:  cfg_rcw_src1
	CFG_RCW_SRC	ifc_ad09		# pin function:  cfg_rcw_src2
	CFG_RCW_SRC	ifc_ad10		# pin function:  cfg_rcw_src3
	CFG_RCW_SRC	ifc_ad11		# pin function:  cfg_rcw_src4
	CFG_RCW_SRC	ifc_ad12		# pin function:  cfg_rcw_src5
	CFG_RCW_SRC	ifc_ad13		# pin function:  cfg_rcw_src6
