DFF 1.1	Flow Table																											
																												
			Gate			Command				Bin Number		Sort Number			Flag			Group				Device			Debug			
						flag-false	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED															not	flag-true	ifallpb1_C2A232F_PASSED				
						Test	test3	test3						Fail									flag-true	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED				
						Test	test4	test4						Fail									flag-true	ifallpb1_C2A232F_PASSED_AND_ifallpb2_C2A232F_PASSED				
						logprint	Test_that_group-level_dependencies_work																					
						Test	grp1_test1	grp1_test1			5			None		grp1_C2A232F_FAILED_0												
						defaults										grp1_C2A232F_FAILED												
						flag-true	grp1_C2A232F_FAILED																flag-true	grp1_C2A232F_FAILED_0				
						Test	grp1_test2	grp1_test2			5			None		grp1_C2A232F_FAILED_1												
						flag-true	grp1_C2A232F_FAILED																flag-true	grp1_C2A232F_FAILED_1				
						Test	grp1_test3	grp1_test3			5			None		grp1_C2A232F_FAILED_2												
						flag-true	grp1_C2A232F_FAILED																flag-true	grp1_C2A232F_FAILED_2				
						Test	grp2_test1	grp2_test1			5			Fail									flag-true	grp1_C2A232F_FAILED				
						Test	grp2_test2	grp2_test2			5			Fail									flag-true	grp1_C2A232F_FAILED				
						Test	grp2_test3	grp2_test3			5			Fail									flag-true	grp1_C2A232F_FAILED				
						logprint	Another_group-level_dependencies_test_based_on_a_real_life_use_case																					
						Test	gt1	gt1			90			Fail														
						Test	gt_grp1_test1	gt_grp1_test1			90			None		gt_grp1_C2A232F_FAILED_0												
						defaults										gt_grp1_C2A232F_FAILED												
						flag-true	gt_grp1_C2A232F_FAILED																flag-true	gt_grp1_C2A232F_FAILED_0				
						Test	gt_grp1_test2	gt_grp1_test2			90			None		gt_grp1_C2A232F_FAILED_1												
						flag-true	gt_grp1_C2A232F_FAILED																flag-true	gt_grp1_C2A232F_FAILED_1				
						Test	gt2	gt2			90			Fail									flag-true	gt_grp1_C2A232F_FAILED				
						Test	gt_grp2_test1	gt_grp2_test1			90			None		gt_grp2_C2A232F_FAILED_0							flag-true	gt_grp1_C2A232F_FAILED				
						defaults										gt_grp2_C2A232F_FAILED												
						flag-true	gt_grp2_C2A232F_FAILED																flag-true	gt_grp2_C2A232F_FAILED_0				
						Test	gt_grp2_test2	gt_grp2_test2			90			None		gt_grp2_C2A232F_FAILED_1							flag-true	gt_grp1_C2A232F_FAILED				
						flag-true	gt_grp2_C2A232F_FAILED																flag-true	gt_grp2_C2A232F_FAILED_1				
						Test	gt3	gt3			90			Fail									flag-true	gt_grp2_C2A232F_FAILED				
						logprint	Test_that_nested_groups_work																					
						Test	lev1_test1	lev1_test1			5			Fail														
						Test	lev1_test2	lev1_test2			5			Fail														
						Test	lev1_test3	lev1_test3			10			None		l1t3_C2A232F_FAILED												
						Test	lev1_test4	lev1_test4			12			Fail									flag-true	l1t3_C2A232F_FAILED				
						Test	lev1_test5	lev1_test5			12			None		l1t5_C2A232F_FAILED												
						Test	lev2_test1	lev2_test1			5			Fail														
						Test	lev2_test2	lev2_test2			5			Fail														
						Test	lev2_test3	lev2_test3			10			None		l2t3_C2A232F_FAILED												
						Test	lev2_test4	lev2_test4			12			Fail									flag-true	l2t3_C2A232F_FAILED				
						Test	lev2_test5	lev2_test5			12			Fail									flag-true	l1t5_C2A232F_FAILED				
						logprint	Test_nested_conditions_on_a_group																					
						Test	nt1	nt1			10			None		nt1_C2A232F_FAILED												
						Test	nt2	nt2			11			None	nt2_C2A232F_PASSED	nt2_C2A232F_FAILED							flag-true	nt1_C2A232F_FAILED				
						Test	nt3	nt3			12			Fail									flag-true	nt2_C2A232F_PASSED				
						Test	nt4	nt4			13			Fail									flag-true	nt2_C2A232F_FAILED				
						logprint	Embedded_conditional_tests_1																					
						Test	test1	test1						None		ect1_1_C2A232F_FAILED												
						Test	test2	test2						Fail									flag-true	ect1_1_C2A232F_FAILED				
						Test	test3	test3						None		ect1_3_C2A232F_FAILED							flag-true	ect1_1_C2A232F_FAILED				
						Test	test4	test4						Fail									flag-true	ect1_3_C2A232F_FAILED				
						logprint	Embedded_conditional_tests_2																					
						Test	test1	test1						None		ect2_1_C2A232F_FAILED												
						Test	test2	test2						None		ect2_2_C2A232F_FAILED												
						defaults										ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED												
						flag-true	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED																					
						flag-false	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED															not	flag-true	ect2_2_C2A232F_FAILED				
						flag-false	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED															not	flag-true	ect2_1_C2A232F_FAILED				
						Test	test3	test3						Fail									flag-true	ect2_1_C2A232F_FAILED_AND_ect2_2_C2A232F_FAILED				
		en1				Test	test4	test4						Fail									flag-true	ect2_1_C2A232F_FAILED				
		en2				Test	test5	test5						Fail									flag-true	ect2_1_C2A232F_FAILED				
		en2				Test	test6	test6						Fail									flag-true	ect2_1_C2A232F_FAILED				
						Test	test7	test7						Fail									flag-true	ect2_1_C2A232F_FAILED				
						Test	test8	test8						Fail														
						logprint	Nested_enable_word_test_1																					
		word1				Test	test1	test1						Fail														
		word1				goto	LABEL_4_C2A232F																					
						goto	LABEL_3_C2A232F																					
	LABEL_4_C2A232F					nop																						
		word2				enable-flow-word	word1_AND_word2																					
	LABEL_3_C2A232F					nop																						
		word1_AND_word2				Test	test2	test2						Fail														
						logprint	Nested_enable_word_test_2																					
		word1				Test	test1	test1						Fail														
		word2				goto	LABEL_5_C2A232F																					
		word1				Test	test2	test2						Fail														
	LABEL_5_C2A232F					nop																						
						logprint	Nested_enable_word_test_3																					
		word1				enable-flow-word	word1_OR_word2																					
		word2				enable-flow-word	word1_OR_word2																					
		word1_OR_word2				Test	test1	test1						Fail														
		word1_OR_word2				goto	LABEL_7_C2A232F																					
						goto	LABEL_6_C2A232F																					
	LABEL_7_C2A232F					nop																						
		word3				enable-flow-word	word1_OR_word2_AND_word3																					
	LABEL_6_C2A232F					nop																						
		word1_OR_word2_AND_word3				Test	test2	test2						Fail														
						logprint	Conditional_enable_test																					
		nvm_minimum_room	FR			enable-flow-word	nvm_minimum_ft																					
		nvm_minimum_cold	FC			enable-flow-word	nvm_minimum_ft																					
		nvm_minimum_hot	FH			disable-flow-word	nvm_minimum_ft																					
						logprint	Test_enable_words_that_wrap_a_lot_of_tests																					
		word1				goto	LABEL_9_C2A232F																					
						goto	LABEL_8_C2A232F																					
	LABEL_9_C2A232F					nop																						
						Test	test1	test1						Fail														
						Test	test1	test1						Fail														
						Test	test1	test1						Fail														
						Test	test1	test1						Fail														
						Test	test1	test1						Fail														
		word2				Test	test1	test1						Fail														
		word2				Test	test1	test1						Fail														
		word2				Test	test1	test1						Fail														
		word2				Test	test1	test1						Fail														
		word2				goto	LABEL_11_C2A232F																					
						goto	LABEL_10_C2A232F																					
	LABEL_11_C2A232F					nop																						
		word3				enable-flow-word	word2_AND_word3																					
	LABEL_10_C2A232F					nop																						
		word2_AND_word3				Test	test1	test1						Fail														
	LABEL_8_C2A232F					nop																						
						logprint	This_should_generate_an_AND_flag																					
						Test	test1	test1						None		at1_C2A232F_FAILED												
						Test	test2	test2						None		at2_C2A232F_FAILED												
						defaults										at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED												
						flag-true	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED																					
						flag-false	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED															not	flag-true	at2_C2A232F_FAILED				
						flag-false	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED															not	flag-true	at1_C2A232F_FAILED				
						Test	test3	test3						Fail									flag-true	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED				
						Test	test4	test4						Fail									flag-true	at1_C2A232F_FAILED_AND_at2_C2A232F_FAILED				
						logprint	This_should_NOT_generate_an_AND_flag																					
						Test	test1	test1						None		at11_C2A232F_FAILED												
						Test	test2	test2						None		at21_C2A232F_FAILED							flag-true	at11_C2A232F_FAILED				
						Test	test3	test3						Fail									flag-true	at21_C2A232F_FAILED				
						Test	test4	test4						Fail									flag-true	at21_C2A232F_FAILED				
						logprint	Manual_flag_setting																					
						Test	test1							None		my_flag												
						Test	test2							Fail									flag-true	my_flag				
						Test	test3							Fail								not	flag-true	my_flag				
						logprint	Mixed-case_manual_flags																					
						Test	test1							None		My_Mixed_Flag												
						Test	test2							Fail									flag-true	My_Mixed_Flag				
						Test	test3							Fail								not	flag-true	My_Mixed_Flag				
						logprint	Mixed-case_enables																					
		MCEn_extras				Test	extra_test							Fail														
		MCEn_test				goto	LABEL_12_C2A232F																					
						Test	test1							Fail														
						Test	test2							Fail														
	LABEL_12_C2A232F					nop																						
						logprint	An_optimization_test_case,_this_should_not_generate_a_flag_on_V93K																					
						Test	test1	test1						None	t1a_C2A232F_PASSED	t1a_C2A232F_FAILED												
						Test	test2	test2						Fail									flag-true	t1a_C2A232F_PASSED				
						Test	test3	test3						Fail									flag-true	t1a_C2A232F_FAILED				
						set-device					10			Fail									flag-true	t1a_C2A232F_FAILED				
						logprint	The_reverse_optimization_test_case,_this_should_not_generate_a_flag_on_V93K																					
						Test	test1	test1						None	t1b_C2A232F_PASSED	t1b_C2A232F_FAILED												
						Test	test3	test3						Fail									flag-true	t1b_C2A232F_FAILED				
						set-device					10			Fail									flag-true	t1b_C2A232F_FAILED				
						Test	test2	test2						Fail									flag-true	t1b_C2A232F_PASSED				
						logprint	Test_the_block_form_of_expressing_if_passed/failed_dependents																					
						Test	test1	test1						None	t114_C2A232F_PASSED	t114_C2A232F_FAILED												
						Test	test3	test3						Fail									flag-true	t114_C2A232F_FAILED				
						set-device					10			Fail									flag-true	t114_C2A232F_FAILED				
						Test	test2	test2						Fail									flag-true	t114_C2A232F_PASSED				
						logprint	Test_the_else_block_on_a_flag_condition																					
		bitmap				Test	test2							Fail														
		bitmap				goto	LABEL_13_C2A232F																					
						Test	test3							Fail														
	LABEL_13_C2A232F					nop																						
						Test	test2							Fail									flag-true	some_flag				
						Test	test3							Fail								not	flag-true	some_flag				
						logprint	Test_of_a_real_life_case_which_was_found_to_have_problems																					
		eword1				goto	LABEL_14_C2A232F																					
		eword2				goto	LABEL_15_C2A232F																					
		small_flow				Test	test1							Fail														
		small_flow				Test	test2							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
		small_flow				Test	test1							Fail														
		small_flow				Test	test2							Fail														
	LABEL_15_C2A232F					nop																						
		eword2				goto	LABEL_17_C2A232F																					
						goto	LABEL_16_C2A232F																					
	LABEL_17_C2A232F					nop																						
		small_flow				Test	test1							Fail														
		small_flow				Test	test2							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
						Test	test1							Fail														
		small_flow				Test	test1							Fail														
		small_flow				Test	test2							Fail														
	LABEL_16_C2A232F					nop																						
	LABEL_14_C2A232F					nop																						
